"Mathematics", "Mathematics, the science of structure, order, and relation that has evolved from counting, measuring, and describing the shapes of objects."
"Biology", "Biology is the natural science that studies life and living organisms, including their physical structure, chemical processes, molecular interactions, physiological mechanisms, development and evolution."
"Chemistry", "Chemistry is a branch of physical science that studies the composition, structure, properties and change of matter."
"Physics", "Physics is the natural science that involves the study of matter and its motion through space and time, along with related concepts such as energy and force."
"English", "English is a West Germanic language that was first spoken in early medieval England and eventually became a global lingua franca."
"History", "History is the study of the past as it is described in written documents."
"Geography", "Geography is a field of science devoted to the study of the lands, the features, the inhabitants, and the phenomena of Earth."
"Literature", "Literature is a body of written works. The name has traditionally been applied to those imaginative works of poetry and prose distinguished by the intentions of their authors and the perceived aesthetic excellence of their execution."
"Art", "Art is a diverse range of human activities in creating visual, auditory or performing artifacts (artworks), expressing the author's imaginative or technical skill, intended to be appreciated for their beauty or emotional power."
"Music", "Music is an art form and cultural activity whose medium is sound organized in time."
